No.,Symbol,Name,Weight,Shares,asset_close_price,spmo_close_price,relative_strength,rel_Momntum,Change_of_Mom,Snapshot_Date
1.0,MU,"Micron Technology, Inc.",11.05%,2339509.0,975.56,150.83,6.4679,4.7826,-978.4849,2026-07-03
2.0,NVDA,NVIDIA Corporation,7.67%,8484155.0,194.83,150.83,1.2917,-1.4312,70.9915,2026-07-03
3.0,AVGO,Broadcom Inc.,6.07%,3592685.0,360.45,150.83,2.3898,-4.2724,52.0094,2026-07-03
4.0,GOOGL,Alphabet Inc.,4.42%,2677883.0,359.91,150.83,2.3862,-2.1223,106.9252,2026-07-03
5.0,LRCX,Lam Research Corporation,4.21%,2354175.0,351.41,150.83,2.3298,1.7398,-236.5932,2026-07-03
6.0,JNJ,Johnson & Johnson,4.21%,3620354.0,263.04,150.83,1.744,2.0501,179.8342,2026-07-03
7.0,AMD,"Advanced Micro Devices, Inc.",4.21%,1699527.0,517.82,150.83,3.4331,0.6422,-187.6444,2026-07-03
8.0,GOOG,Alphabet Inc.,3.51%,2145554.0,356.18,150.83,2.3615,-2.0995,105.7727,2026-07-03
9.0,INTC,Intel Corporation,3.17%,5454277.0,120.35,150.83,0.7979,-0.2791,-17.615,2026-07-03
10.0,SNDK,Sandisk Corporation,2.86%,307429.0,1745.0,150.83,11.5693,9.4188,-1924.4603,2026-07-03
11.0,CAT,Caterpillar Inc.,2.86%,629526.0,963.53,150.83,6.3882,3.1379,10.8112,2026-07-03
12.0,XOM,ExxonMobil Holdings Corporation,2.53%,4052010.0,137.09,150.83,0.9089,-0.927,100.3846,2026-07-03
13.0,AMAT,"Applied Materials, Inc.",2.48%,834113.0,603.04,150.83,3.9981,9.5683,-247.7094,2026-07-03
14.0,WDC,Western Digital Corporation,1.93%,704721.0,539.0,150.83,3.5736,0.6676,-440.2351,2026-07-03
15.0,CSCO,"Cisco Systems, Inc.",1.90%,3550981.0,112.69,150.83,0.7471,-0.44,34.685,2026-07-03
16.0,STX,Seagate Technology Holdings plc,1.90%,452851.0,820.16,150.83,5.4376,-2.1292,-493.2471,2026-07-03
17.0,KLAC,KLA Corporation,1.86%,1531517.0,235.55,150.83,1.5617,2.1691,-192.0326,2026-07-03
18.0,GE,GE Aerospace,1.83%,1069643.0,377.52,150.83,2.503,4.0033,78.9681,2026-07-03
19.0,GEV,GE Vernova Inc.,1.51%,290940.0,1113.11,150.83,7.3799,2.2659,97.3046,2026-07-03
20.0,APH,Amphenol Corporation,1.46%,1849009.0,164.59,150.83,1.0912,1.5956,-38.0861,2026-07-03
,SPMO,Invesco S&P 500 Momentum ETF,100.0%,,150.83,150.83,1.0,12.5952,-9342.5598,2026-07-03
