No.,Symbol,Name,Weight,Shares,asset_close_price,spmo_close_price,relative_strength,rel_Momntum,Change_of_Mom,Snapshot_Date
1.0,MU,"Micron Technology, Inc.",10.47%,2366401.0,995.66,154.23,6.4557,-4.4925,-119.5945,2026-07-10
2.0,NVDA,NVIDIA Corporation,8.17%,8581679.0,210.83,154.23,1.367,-0.7911,71.431,2026-07-10
3.0,AVGO,Broadcom Inc.,6.59%,3633995.0,401.63,154.23,2.6041,-5.1635,-116.9938,2026-07-10
4.0,GOOGL,Alphabet Inc.,4.57%,2708663.0,354.12,154.23,2.2961,-0.5093,77.8374,2026-07-10
5.0,JNJ,Johnson & Johnson,4.50%,3661988.0,256.8,154.23,1.665,2.1849,-4.4632,2026-07-10
6.0,AMD,"Advanced Micro Devices, Inc.",4.15%,1719129.0,559.95,154.23,3.6306,2.458,28.5389,2026-07-10
7.0,LRCX,Lam Research Corporation,3.70%,2381229.0,353.95,154.23,2.295,1.2619,-97.2414,2026-07-10
8.0,GOOG,Alphabet Inc.,3.63%,2170178.0,351.8,154.23,2.281,-0.4354,77.6275,2026-07-10
9.0,INTC,Intel Corporation,2.84%,5516971.0,110.54,154.23,0.7167,0.1623,-0.0792,2026-07-10
10.0,CAT,Caterpillar Inc.,2.81%,636816.0,957.28,154.23,6.2068,3.0218,-137.9667,2026-07-10
11.0,4XOM,Exxon Mobil Corp,2.70%,4098666.0,,154.23,,,,2026-07-10
12.0,SNDK,Sandisk Corporation,2.50%,310993.0,1942.56,154.23,12.5952,14.5606,898.6118,2026-07-10
13.0,AMAT,"Applied Materials, Inc.",2.24%,843671.0,607.65,154.23,3.9399,7.5948,-73.4024,2026-07-10
14.0,CSCO,"Cisco Systems, Inc.",1.91%,3591805.0,119.99,154.23,0.778,-0.4963,-27.6962,2026-07-10
15.0,STX,Seagate Technology Holdings plc,1.84%,458035.0,924.06,154.23,5.9914,-0.1796,220.6525,2026-07-10
16.0,WDC,Western Digital Corporation,1.83%,712821.0,584.22,154.23,3.788,1.3347,-51.2872,2026-07-10
17.0,GE,GE Aerospace,1.80%,1081955.0,359.77,154.23,2.3327,2.7325,59.4665,2026-07-10
18.0,KLAC,KLA Corporation,1.60%,1549175.0,231.54,154.23,1.5013,1.7393,-49.7991,2026-07-10
19.0,RTX,RTX Corporation,1.51%,1664814.0,195.63,154.23,1.2684,1.3749,9.116,2026-07-10
20.0,GEV,GE Vernova Inc.,1.47%,294342.0,1098.99,154.23,7.1257,8.3576,58.3876,2026-07-10
,SPMO,Invesco S&P 500 Momentum ETF,100.0%,,154.23,154.23,1.0,1.4644,-846.9391,2026-07-10
