No.,Symbol,Name,Weight,Shares,asset_close_price,spmo_close_price,relative_strength,rel_Momntum,Change_of_Mom,Snapshot_Date
1.0,MU,"Micron Technology, Inc.",9.71%,2431141.0,963.99,152.79,6.309,-1.6888,-86.9121,2026-08-14
2.0,NVDA,NVIDIA Corporation,8.82%,8816459.0,225.09,152.79,1.4732,1.4848,28.8831,2026-08-14
3.0,AVGO,Broadcom Inc.,7.15%,3733445.0,393.48,152.79,2.5752,-0.4508,-199.4808,2026-08-14
4.0,JNJ,Johnson & Johnson,4.50%,3762218.0,260.67,152.79,1.706,0.1343,46.7031,2026-08-14
5.0,GOOGL,Alphabet Inc.,4.40%,2782763.0,344.72,152.79,2.2561,-0.8837,47.3591,2026-08-14
6.0,AMD,"Advanced Micro Devices, Inc.",3.85%,1766319.0,501.58,152.79,3.2827,-2.8877,-15.1412,2026-08-14
7.0,GOOG,Alphabet Inc.,3.52%,2229458.0,342.49,152.79,2.2415,-0.8565,44.6025,2026-08-14
8.0,LRCX,Lam Research Corporation,3.50%,2446359.0,328.54,152.79,2.1502,-1.5689,-151.0193,2026-08-14
9.0,XOM,ExxonMobil Holdings Corporation,3.10%,4210986.0,160.96,152.79,1.0534,1.5548,54.2134,2026-08-14
10.0,INTC,Intel Corporation,2.55%,5667901.0,103.17,152.79,0.6752,-0.5995,-12.4532,2026-08-14
11.0,CAT,Caterpillar Inc.,2.54%,654366.0,859.2,152.79,5.6232,-4.9549,193.5942,2026-08-14
12.0,AMAT,"Applied Materials, Inc.",2.10%,866681.0,508.3,152.79,3.3267,-5.1876,-229.9562,2026-08-14
13.0,CSCO,"Cisco Systems, Inc.",2.04%,3690085.0,111.17,152.79,0.7276,-0.4529,-32.3513,2026-08-14
14.0,GE,GE Aerospace,1.88%,1111595.0,365.66,152.79,2.3931,0.477,50.8029,2026-08-14
15.0,SNDK,Sandisk Corporation,1.87%,319573.0,1631.54,152.79,10.678,-14.6123,3.7556,2026-08-14
16.0,STX,Seagate Technology Holdings plc,1.78%,470515.0,963.56,152.79,6.3062,4.9169,170.3807,2026-08-14
17.0,RTX,RTX Corporation,1.76%,1710444.0,221.98,152.79,1.4528,1.7765,28.4392,2026-08-14
18.0,PLTR,Palantir Technologies Inc.,1.57%,1952179.0,176.7,152.79,1.1565,3.1349,19.4783,2026-08-14
19.0,APH,Amphenol Corporation,1.48%,1921321.0,166.94,152.79,1.0926,0.3274,-1.7756,2026-08-14
20.0,WDC,Western Digital Corporation,1.48%,732321.0,496.65,152.79,3.2504,-5.2569,-61.6514,2026-08-14
,SPMO,Invesco S&P 500 Momentum ETF,100.0%,,152.79,152.79,1.0,-2.85,-2434.9976,2026-08-14
