No.,Symbol,Name,Weight,Shares,asset_close_price,spmo_close_price,relative_strength,rel_Momntum,Change_of_Mom,Snapshot_Date
1.0,MU,"Micron Technology, Inc.",10.70%,2385989.0,901.42,146.25,6.1636,-1.8979,365.5325,2026-07-17
2.0,NVDA,NVIDIA Corporation,8.36%,8652715.0,206.59,146.25,1.4126,-0.0095,-15.4961,2026-07-17
3.0,AVGO,Broadcom Inc.,6.50%,3664085.0,376.98,146.25,2.5776,-0.8076,23.5756,2026-07-17
4.0,GOOGL,Alphabet Inc.,4.48%,2731083.0,346.4,146.25,2.3685,-1.0463,-83.9156,2026-07-17
5.0,AMD,"Advanced Micro Devices, Inc.",4.33%,1733407.0,502.49,146.25,3.4358,2.073,80.0206,2026-07-17
6.0,JNJ,Johnson & Johnson,4.28%,3692314.0,252.57,146.25,1.727,1.1784,-30.4391,2026-07-17
7.0,LRCX,Lam Research Corporation,3.79%,2400935.0,318.22,146.25,2.1759,-0.4386,-57.2827,2026-07-17
8.0,GOOG,Alphabet Inc.,3.57%,2188114.0,345.71,146.25,2.3639,-0.9594,-85.243,2026-07-17
9.0,4XOM,ExxonMobil Holdings Corp,2.74%,4132650.0,,146.25,,,,2026-07-17
10.0,INTC,Intel Corporation,2.73%,5562637.0,97.56,146.25,0.6671,-0.6566,13.6206,2026-07-17
11.0,CAT,Caterpillar Inc.,2.73%,642126.0,891.21,146.25,6.0937,-1.1674,46.7475,2026-07-17
12.0,SNDK,Sandisk Corporation,2.51%,313589.0,1493.11,146.25,10.2093,-9.7006,437.7489,2026-07-17
13.0,AMAT,"Applied Materials, Inc.",2.31%,850633.0,546.65,146.25,3.7378,3.4834,-179.4089,2026-07-17
14.0,CSCO,"Cisco Systems, Inc.",1.93%,3621541.0,112.52,146.25,0.7694,-0.4478,38.0847,2026-07-17
15.0,STX,Seagate Technology Holdings plc,1.85%,461811.0,796.41,146.25,5.4455,-2.9448,507.9183,2026-07-17
16.0,WDC,Western Digital Corporation,1.85%,718721.0,485.79,146.25,3.3216,-1.9351,162.013,2026-07-17
17.0,GE,GE Aerospace,1.76%,1090923.0,353.45,146.25,2.4167,1.7595,-25.4574,2026-07-17
18.0,KLAC,KLA Corporation,1.64%,1562037.0,216.46,146.25,1.4801,0.2752,-54.7518,2026-07-17
19.0,GS,"The Goldman Sachs Group, Inc.",1.56%,300472.0,1079.06,146.25,7.3782,3.7125,-91.7032,2026-07-17
20.0,RTX,RTX Corporation,1.48%,1678620.0,195.01,146.25,1.3334,1.0068,-27.1537,2026-07-17
,SPMO,Invesco S&P 500 Momentum ETF,100.0%,,146.25,146.25,1.0,-10.3398,1339.447,2026-07-17
