No.,Symbol,Name,Weight,Shares,asset_close_price,spmo_close_price,relative_strength,rel_Momntum,Change_of_Mom,Snapshot_Date
1.0,MU,"Micron Technology, Inc.",12.62%,2310127.0,1132.33,154.2,7.3433,23.6699,-408.2073,2026-06-26
2.0,NVDA,NVIDIA Corporation,7.38%,8377601.0,192.53,154.2,1.2486,-3.2073,25.7694,2026-06-26
3.0,AVGO,Broadcom Inc.,6.05%,3547550.0,365.02,154.2,2.3672,-5.5573,45.4922,2026-06-26
4.0,LRCX,Lam Research Corporation,4.20%,2324616.0,379.09,154.2,2.4584,5.1285,-37.0634,2026-06-26
5.0,GOOGL,Alphabet Inc.,4.09%,2644253.0,337.39,154.2,2.188,-5.7117,85.2397,2026-06-26
6.0,AMD,"Advanced Micro Devices, Inc.",4.02%,1678110.0,521.58,154.2,3.3825,4.3372,79.0987,2026-06-26
7.0,JNJ,Johnson & Johnson,3.94%,3574865.0,254.66,154.2,1.6515,0.2285,100.8377,2026-06-26
8.0,GOOG,Alphabet Inc.,3.26%,2118650.0,334.69,154.2,2.1705,-5.6903,69.7874,2026-06-26
9.0,INTC,Intel Corporation,3.22%,5385778.0,128.32,154.2,0.8322,0.4307,-23.1777,2026-06-26
10.0,SNDK,Sandisk Corporation,3.19%,303535.0,2090.71,154.2,13.5584,37.0696,-1479.343,2026-06-26
11.0,CAT,Caterpillar Inc.,2.96%,621561.0,997.47,154.2,6.4687,3.4289,-159.841,2026-06-26
12.0,XOM,Exxon Mobil Corporation,2.48%,4001034.0,136.54,154.2,0.8855,-2.7217,2.7916,2026-06-26
13.0,AMAT,"Applied Materials, Inc.",2.48%,823670.0,626.84,154.2,4.0651,11.7079,-88.3649,2026-06-26
14.0,WDC,Western Digital Corporation,2.11%,695871.0,586.45,154.2,3.8032,5.5792,-425.2664,2026-06-26
15.0,STX,Seagate Technology Holdings plc,2.06%,447187.0,899.9,154.2,5.8359,6.169,-563.171,2026-06-26
16.0,CSCO,"Cisco Systems, Inc.",1.88%,3506377.0,113.77,154.2,0.7378,-0.839,12.7656,2026-06-26
17.0,GE,GE Aerospace,1.77%,1056191.0,369.0,154.2,2.393,3.613,60.4411,2026-06-26
18.0,KLAC,KLA Corporation,1.76%,1512224.0,248.64,154.2,1.6125,3.7285,-4.3815,2026-06-26
19.0,GEV,GE Vernova Inc.,1.40%,287223.0,1045.17,154.2,6.778,-4.2411,-58.5166,2026-06-26
20.0,GS,"The Goldman Sachs Group, Inc.",1.39%,290875.0,1019.61,154.2,6.6123,0.2701,27.8846,2026-06-26
,SPMO,Invesco S&P 500 Momentum ETF,100.0%,,154.2,154.2,1.0,137.8546,-4651.2299,2026-06-26
