No.,Symbol,Name,Weight,Shares,asset_close_price,spmo_close_price,relative_strength,rel_Momntum,Change_of_Mom,Snapshot_Date
1.0,MU,"Micron Technology, Inc.",10.31%,2238913.0,981.61,152.48,6.4376,17.2974,-240.6509,2026-06-12
2.0,NVDA,NVIDIA Corporation,8.40%,8119343.0,205.19,152.48,1.3457,-1.2044,-57.4823,2026-06-12
3.0,AVGO,Broadcom Inc.,6.60%,3438155.0,382.07,152.48,2.5057,-4.9903,39.9145,2026-06-12
4.0,GOOGL,Alphabet Inc.,4.71%,2562743.0,359.68,152.48,2.3589,-4.5067,-11.1389,2026-06-12
5.0,JNJ,Johnson & Johnson,4.27%,3464612.0,240.87,152.48,1.5797,0.0234,46.0844,2026-06-12
6.0,AMD,"Advanced Micro Devices, Inc.",3.80%,1626201.0,511.57,152.48,3.355,3.7887,-288.3333,2026-06-12
7.0,GOOG,Alphabet Inc.,3.75%,2053442.0,358.16,152.48,2.3489,-4.4016,-22.7557,2026-06-12
8.0,LRCX,Lam Research Corporation,3.74%,2252973.0,366.81,152.48,2.4056,3.0682,-100.3805,2026-06-12
9.0,XOM,Exxon Mobil Corporation,3.01%,3877482.0,147.01,152.48,0.9641,-0.7894,63.2152,2026-06-12
10.0,INTC,Intel Corporation,2.88%,5219755.0,124.57,152.48,0.817,0.1881,26.4577,2026-06-12
11.0,CAT,Caterpillar Inc.,2.66%,602256.0,910.57,152.48,5.9717,-5.7484,24.7107,2026-06-12
12.0,SNDK,Sandisk Corporation,2.49%,294097.0,1980.1,152.48,12.986,30.2778,732.2838,2026-06-12
13.0,CSCO,"Cisco Systems, Inc.",2.08%,3398269.0,121.1,152.48,0.7942,1.4698,21.8381,2026-06-12
14.0,AMAT,"Applied Materials, Inc.",2.05%,798359.0,567.25,152.48,3.7202,6.9673,2.4998,2026-06-12
15.0,STX,Seagate Technology Holdings plc,1.83%,433459.0,931.04,152.48,6.106,5.5178,378.6911,2026-06-12
16.0,WDC,Western Digital Corporation,1.71%,674421.0,562.92,152.48,3.6918,2.8037,138.8633,2026-06-12
17.0,GE,GE Aerospace,1.68%,1023587.0,335.3,152.48,2.199,0.3901,-91.6481,2026-06-12
18.0,KLAC,KLA Corporation,1.62%,146544.0,254.54,152.48,1.6693,3.8819,41.8357,2026-06-12
19.0,GS,"The Goldman Sachs Group, Inc.",1.46%,281866.0,1062.75,152.48,6.9698,3.7864,136.1468,2026-06-12
20.0,RTX,RTX Corporation,1.44%,1574958.0,183.53,152.48,1.2036,-0.3944,-14.2068,2026-06-12
,SPMO,Invesco S&P 500 Momentum ETF,100.0%,,152.48,152.48,1.0,108.9,-1809.9976,2026-06-12
