No.,Symbol,Name,Weight,Shares,asset_close_price,spmo_close_price,relative_strength,rel_Momntum,Change_of_Mom,Snapshot_Date
1.0,MU,"Micron Technology, Inc.",10.98%,2260659.0,1133.99,159.9,7.0919,17.8498,520.7886,2026-06-19
2.0,NVDA,NVIDIA Corporation,8.09%,8198205.0,210.69,159.9,1.3176,-2.09,-24.62,2026-06-19
3.0,AVGO,Broadcom Inc.,6.22%,3471560.0,411.35,159.9,2.5725,-3.3019,76.0061,2026-06-19
4.0,GOOGL,Alphabet Inc.,4.59%,2587633.0,368.03,159.9,2.3016,-3.7832,-58.906,2026-06-19
5.0,LRCX,Lam Research Corporation,4.00%,2274850.0,389.04,159.9,2.433,4.3208,50.9608,2026-06-19
6.0,AMD,"Advanced Micro Devices, Inc.",3.96%,1642052.0,537.37,159.9,3.3607,2.5724,102.2243,2026-06-19
7.0,JNJ,Johnson & Johnson,3.91%,3498279.0,228.39,159.9,1.4283,-1.153,-114.2592,2026-06-19
8.0,GOOG,Alphabet Inc.,3.66%,2073354.0,367.46,159.9,2.2981,-3.5745,-39.9736,2026-06-19
9.0,INTC,Intel Corporation,2.93%,5270452.0,133.99,159.9,0.838,0.03,110.3233,2026-06-19
10.0,SNDK,Sandisk Corporation,2.81%,296979.0,2184.75,159.9,13.6632,36.1117,1608.2194,2026-06-19
11.0,CAT,Caterpillar Inc.,2.73%,608151.0,985.82,159.9,6.1652,-1.4934,47.6995,2026-06-19
12.0,XOM,Exxon Mobil Corporation,2.64%,3915210.0,137.81,159.9,0.8619,-1.739,-61.2345,2026-06-19
13.0,WDC,Western Digital Corporation,2.21%,680971.0,746.23,159.9,4.6669,12.8428,234.8416,2026-06-19
14.0,AMAT,"Applied Materials, Inc.",2.18%,806088.0,617.11,159.9,3.8593,8.7794,97.9707,2026-06-19
15.0,STX,Seagate Technology Holdings plc,2.15%,437651.0,1070.23,159.9,6.6931,10.9395,-52.5849,2026-06-19
16.0,CSCO,"Cisco Systems, Inc.",1.95%,3431281.0,119.54,159.9,0.7476,0.6023,-18.5156,2026-06-19
17.0,GE,GE Aerospace,1.73%,1033543.0,357.64,159.9,2.2366,1.7746,-59.6214,2026-06-19
18.0,KLAC,KLA Corporation,1.67%,1479742.0,259.56,159.9,1.6233,3.709,97.1727,2026-06-19
19.0,GS,"The Goldman Sachs Group, Inc.",1.48%,284617.0,1096.56,159.9,6.8578,3.3823,-290.4874,2026-06-19
20.0,RTX,RTX Corporation,1.41%,1590285.0,185.6,159.9,1.1607,-0.7256,-93.3975,2026-06-19
,SPMO,Invesco S&P 500 Momentum ETF,100.0%,,159.9,159.9,1.0,154.5,6029.9988,2026-06-19
